web-scraper-order,web-scraper-start-url,names
"1748814827-31","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Bulevar Estates"
"1748814827-32","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Blue line Marbella Realty"
"1748814827-33","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Stand Inmobiliario"
"1748814827-34","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Serneholt Estate"
"1748814827-35","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","MarBanus Estates"
"1748814827-36","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Mianna Properties"
"1748814827-37","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Absolute Prestige"
"1748814827-38","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Diana Morales Properties | Knight Frank"
"1748814827-39","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","CENTURY 21 Plus"
"1748814827-40","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Mónica Labord Properties."
"1748814827-41","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Andalucia realty"
"1748814827-42","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","GRUPO INMOSERVI"
"1748814827-43","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Karen Dadonn Team"
"1748814827-44","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","DW Estates"
"1748814827-45","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","MARBELLAIN"
"1748814827-46","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Asset Lighthouse"
"1748814827-47","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","La Sala Homes"
"1748814827-48","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Edward & Partners"
"1748814827-49","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","CRINOA"
"1748814827-50","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Villa Marketing"
"1748814827-51","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","RE/MAX COAST"
"1748814827-52","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Marbella Sky Corp"
"1748814827-53","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","PRO PART MARBELLA"
"1748814827-54","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Arias-Camisón properties"
"1748814827-55","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","GESLAWBROKERS"
"1748814827-56","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","MASSIMO CONTE ESTATES"
"1748814827-57","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","APEX Marbella Property"
"1748814827-58","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Spain Homes"
"1748814827-59","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Homerun Brokers"
"1748814827-60","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Karina Karlsen International"
